customer_id,name,city,state,country,registration_date,email,is_active
1,Ritvik Issac,Panvel,Tripura,India,2021-02-24,mamootyhayer@lad.biz,True
2,Rania Saxena,Vijayanagaram,Jharkhand,India,2024-03-08,bhattikismat@yahoo.com,False
3,Aniruddh Bhasin,Mahbubnagar,Chhattisgarh,India,2021-07-15,mchacko@jhaveri.com,True
4,Faiyaz Sachar,Sultan Pur Majra,Uttar Pradesh,India,2024-11-12,vramesh@gmail.com,True
5,Neelofar Bir,Sangli-Miraj & Kupwad,Andhra Pradesh,India,2021-05-29,ayeshasarraf@yahoo.com,False
6,Pranay Seth,Nadiad,Sikkim,India,2023-05-16,ehsaangoyal@yahoo.com,False
7,Darshit Jani,Raiganj,Karnataka,India,2022-07-03,desaizoya@bhasin.com,True
8,Shlok Manda,Hapur,Uttarakhand,India,2024-06-30,sastrysamiha@tank.info,True
9,Rania Bajwa,Warangal,Uttar Pradesh,India,2024-05-18,rati73@hotmail.com,False
10,Samar Chaudhary,Chittoor,Andhra Pradesh,India,2025-05-31,ravidevansh@mahajan-sinha.org,True
11,Nakul Shah,Tadipatri,Himachal Pradesh,India,2021-10-18,farhan98@hotmail.com,True
12,Lakshit Sarraf,Ajmer,Maharashtra,India,2025-01-06,tellasumer@chaudhry.info,True
13,Samarth Dugar,Tiruvottiyur,Tripura,India,2024-12-31,charvi33@yahoo.com,False
14,Nayantara Barad,Ujjain,Madhya Pradesh,India,2024-10-14,baijuviswanathan@manne.biz,True
15,Yakshit Iyengar,Ranchi,Mizoram,India,2022-06-23,sumersavant@gokhale.com,True
16,Mishti Kalita,Miryalaguda,Karnataka,India,2023-06-19,aainakalita@dara.com,False
17,Ishita Dey,Vadodara,Rajasthan,India,2020-06-27,qraman@loke.com,True
18,Divit Dash,Chapra,Punjab,India,2020-10-21,zoyaacharya@hotmail.com,False
19,Oorja Kata,Gandhidham,Arunachal Pradesh,India,2022-04-09,traval@gade-sunder.net,True
20,Farhan Shanker,Giridih,West Bengal,India,2024-09-23,vedika18@chopra-ranganathan.com,True
21,Ahana  Ravi,Agra,Gujarat,India,2023-09-09,zain53@hotmail.com,True
22,Baiju Krishnamurthy,Kollam,Kerala,India,2020-07-02,jtank@hotmail.com,False
